" or "," lub "
"Your account balance is: %s","Stan konta: <strong>%s</strong>"
"ZIP","Kod pocztowy"
"ZIP/Post Code","Kod pocztowy"
"ZIP/Postal Code","Kod pocztowy"
"Zip/Postal Code","Kod pocztowy"
"n/a","n/d"
"or","lub"
"Please enter your email below and we'll send you a new password.","Proszę o wprowadzenie Twojego adresu email, na ten adres przesłane zostanie nowe hasło."
"First name can't be empty","Pole ""Imię"" nie może być puste"
"Last name can't be empty","Pole ""Nazwisko"" nie może być puste"
"Password can't be empty","Pole ""Hasło"" nie może być puste"
"My Account","Moje konto"
"Log In","Zaloguj"
"New Customers","Nowi klienci"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"Registered Customers","Zarejestrowani klienci"
"If you have an account with us, please log in.","Jeżeli masz u nas konto, zaloguj się."
"Email Address","Adres e-mail"
"Password","Hasło"
"* Required Fields","* wymagane pola"
"Forgot Your Password?","Nie pamiętasz hasła?"
"Retrieve your password here","Tutaj możesz odzyskać hasło"
"Please enter your email below and we'll send you a new password.","Wpisz poniżej swój adres e-mail, na który wyślemy ci nowe hasło."
"Back to Login","Powrót do logowania"
"Submit","Wyślij"
"My Dashboard","Mój panel"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","W Panelu swojego konta możesz podejrzeć swoją ostatnią aktywność oraz zaktualizować dane konta. Wybierz poniższy link, aby przejrzeć lub zmienić dane."
"Contact Information","Dane kontaktowe"
"Address Book","Książka adresowa"
"Account Information","Dane konta"
"Thank you for registering with %s","Dziękujemy za rejestrację w %s"
"Newsletter Subscription","Subskrypcja newslettera"
"You have not set a default billing address.","Nie ustawiłeś domyślnego adresu płatności."
"You have not set a default shipping address.","Nie ustawiłeś domyślnego adresu wysyłki."
"Login or Create an Account","Zaloguj się lub utwórz konto"
"Personal Information","Dane osobiste"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"You are currently not subscribed to any newsletter.","Aktualnie nie subskrybujesz żadnego newslettera."
"Default Shipping Address","Domyślny adres dostawy"
"Login","Logowanie"
"Invalid login or password.","Nieprawidłowa nazwa użytkownika lub hasło."
"You are now logged out","Jesteś teraz wylogowany"
"You have logged out and will be redirected to our homepage in 5 seconds.","Wylogowałeś sie i zostaniesz przeniesiony na stronę główna za 5 sekund."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Już istnieje konto z tym adresem email. Jeśli jesteś pewien, że to Twój adres, <a href=""%s"">kliknij tutaj</a> aby uzyskać hasło i dostęp do konta."
"Edit Account Information","Edytuj konto"
"Log Out","Wyloguj"
"Please enter your email address below. You will receive a link to reset your password.", "Proszę wprowadzić poniżej adres email. Otrzymasz wiadomość z linkiem resetującym hasło."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Jeśli istnieje konto powiązane z %s otrzymasz email z linkiem resetującym hasło."
"Your password reset link has expired.","Twój link resetujący hasło wygasł."
"Your password has been updated.","Twoje hasło zostało zmienione."
"The account information has been saved.","Dane konta zostały zapisane."
"The address has been saved.","Adres został zapisany."
"Customer Testimonials", "Opinie klientów"
"Submit Your Testimonial", "Wyślij swoją opinię"
"Your Name","Twoje imię"
"Your Email", "Twój email"
"Your Website","Twoja strona"
"Your Company", "Twoja firma"
"Your Address", "Twój adres"
"Your Avatar", "Twój avatar"
"Your Testimonial", "Twoja opinia"
"Submit Testimonial", "Wyślij opinię"
"Read More", "Czytaj więcej"
"Added By", "Dodane przez"
"Search...", "Szukaj..."
"register","zarejestruj"
"New Here?", "Nowy tutaj?"
"Registration is free and easy!", "Rejestracja jest darmowa i prosta!"
"Faster checkout","Szybsze zamówienie"
"Save multiple shipping addresses","Bezpieczna dostawa pod wiele adresów"
"View and track orders and more", "Sprawdź i śledź zamówienia"
"Middle Name/Initial", "Drugie imię/inicjał"
"Quick Links","Szybkie linki"
"Your Currency:", "Twoja waluta:"
"Would you like to change the Customer Group for this order?", "Chcesz zmienić grupę klienta dla tego zamowienia?"
